Kazimierz, Michałowski
Piotr, Michałowski
Grzegorz Marek, Michalski
Konstanty, Michalski
Teodoro Picado, Michalski
Adam, Michnik
Tadeusz, Miciński
Adam, Mickiewicz
Wacław, Micuta
Maciej, Miechowita
Marcin, Mielczewski
Maciek, Miernik
Ambroży, Mieroszewski
Halina, Mierzejewska
Stanisław, Mikołajczyk
Carl, Mikuli
Jan, Mikusinski
Grazyna, Miller
Henry, Millicer
Czesław, Miłosz
Hilary, Minc
Jan, Miodek
Michał, Misiurewicz
Tomasz, Miśkiewicz
Igor, Mitoraj
Wawrzyniec, Mitzler de Kolof
Stephen, Mizwa
Ludwik, Mlokosiewicz
Stasch, Mlotkowski
Józef, Młynarczyk
Emil, Młynarski
Helena, Modjeska
Ralph, Modjeski
Andrzej Frycz, Modrzewski
Mieczysław, Mokrzycki
Bernard, Mond
Stanisław, Moniuszko
Jędrzej, Moraczewski
Kalikst, Morawski
Józef, Morozewicz
Jan Andrzej, Morsztyn
Zbigniew, Morsztyn
Ignacy, Mościcki
Andrzej, Mostowski
Moritz, Moszkowski
Leszek, Możdżer
Sławomir, Mrożek
Stanisław, Mrozowski
Gene, Mruczkowski
Scott, Mruczkowski
Piotr, Murdzia
Jan, Mycielski
Karol, Myśliwiec
Daniel, Naborowski
Jan, Nagórski
Miguel, Najdorf
Lewis Bernstein, Namier
Teodor, Narbutt
Adam, Naruszewicz
Gabriel, Narutowicz
Paweł, Nastula
Piotr, Naszarkowski
Władysław, Natanson
Pola, Negri
Marceli, Nencki
Julian Ursyn, Niemcewicz
Czesław, Niemen
Eligiusz, Niewiadomski
Dorota, Nieznalska
Otton M., Nikodym
Józef, Noji
Mike, Nomad
Georges, Nomarski
Jan Piotr, Norblin
Cyprian Kamil, Norwid
Mieczysław, Norwid-Neugebauer
Zygmunt, Noskowski
Katarzyna, Nosowska
Marcin, Nowak
Mieczysław, Nowak
Piotr, Nowak
Jan, Nowak-Jezioranski
Franciszek, Nowicki
Maksymilian, Nowicki
Jerzy, Nowosielski
Feliks, Nowowiejski
Erwin, Nyc
Julian, Ochorowicz
Andrew, Odlyzko
Antoni Edward, Odyniec
Michał Kleofas, Ogiński
Szymon, Okolski
Leopold, Okulicki
Rafał, Olbiński
Daniel, Olbrychski
Ed, Olczyk
Andrzej, Olechowski
Zbigniew, Oleśnicki
Krzysztof, Oliwa
Karol, Olszewski
Marian P., Opala
Catherine, Opalińska
Roman, Opałka
Juliusz Konstanty, Ordon
Menachem, Oren
Samuel, Orgelbrand
Władysław, Orkan
Władysław, Orlicz
Aleksander, Orłowski
Maurycy, Orzech
Eliza, Orzeszkowa
Agnieszka, Osiecka
Ferdynand Antoni, Ossendowski
Stefan, Ossowiecki
Maria, Ossowska
Stanisław, Ossowski
Stanisław, Ostrowski
Jerzy, Owsiak
Norbert, Ozimek
Tom, Paciorek
Joanna, Pacuła
Bohdan, Paczyński
Ignacy, Paderewski
Ignacy Jan, Paderewski
Jerzy, Pajaczkowski-Dydynski
Dominika, Paleta
Ludwika, Paleta
Ireneusz, Paliński
Jacek, Pałkiewicz
Wanda, Panfil
Józef, Pankiewicz
Andrzej, Panufnik
Fables and, Parables
Teodor, Parnicki
Artur, Partyka
Ryszard, Parulski
Jan Chryzostom, Pasek
Longin, Pastusiak
Aneta, Pastuszka
Antoni, Patek
Stanisław, Patek
Waldemar, Pawlak
Stefan, Pawlicki
Maria, Pawlikowska-Jasnorzewska
Jerzy, Pawłowski
Kazimierz, Paździor
Cezary, Pazura
Bartłomiej, Pękiel
Tadeusz, Pełczyński
Krzysztof, Penderecki
Julius, Perlis
Michael Alfred, Peszke
Teodor, Peterek
Jerzy, Petersburski
Jusefs, Petkevich
Leon, Petrażycki
Sebastian, Petrycy
Sergiusz, Piasecki
Edmund, Piątkowski
Svika, Pick
Ryszard, Piec
Wilhelm, Piec
Antoni, Piechniczek
Marek, Pienkowski
Krzysztof, Piesiewicz
Zbigniew, Pietrzykowski
Witold, Pilecki
Bronisław, Piłsudski
Józef, Piłsudski
Karol, Piltz
Leonard, Piontek
Józef, Piotrowski
Oskar, Piotrowski
Richard, Pipes
Lukasz, Piszczek
Emilia, Plater
Kazimierz, Plater
Marek, Plawgo
Jerzy, Pniewski
Marcin, Poczobutt-Odlanicki
Mariusz, Podkościelny
Władysław, Podkowiński
Lukas, Podolski
James, Podsiadly
Iwo Cyprian, Pogonowski
Henryk, Pogorieły
Ernest, Pohl
Wincenty, Pol
Benedykt, Polak
Roman, Polanski
Alexius Sylvius, Polonus
Piotr, Półtorak
Józef, Poniatowski
Stanisław August, Poniatowski
Artur, Popławski
Sylwester, Porowski
Emil Leon, Post
Halina, Poświatowska
Alfred Józef, Potocki
Ignacy, Potocki
Jan, Potocki
Wacław, Potocki
Walenty, Potocki
Izrael, Poznański
Beata, Pozniak
Adam, Prażmowski
Zbigniew, Preisner
Abraham, Prochownik
Zbigniew Robert, Promiński
Kazimierz, Proszyński
Bolesław, Prus
Ksawery, Pruszyński
Dawid, Przepiórka
Kazimierz, Przerwa-Tetmajer
Zenon, Przesmycki
Stanislaw, Przespolewski
Jeremi, Przybora
Julian, Przyboś
Anna, Przybylska
Stanisław, Przybyszewski
Pawel, Przytocki
Józef H., Przytycki
Wojciech, Pszoniak
Krzysztof, Ptak
Mariusz, Pudzianowski
Officer Eddie, Pulaski
Kazimierz, Pułaski
Zygmunt, Puławski
Piotr, Pustelnik
Ivan, Putski
Jan, Puzyna
Monika, Pyrek
Dorota, Rabczewska
Władysław, Raczkiewicz
Krzysztof, Raczkowski
Edward, Raczyński
Edward Bernard, Raczyński
Mikołaj z, Radomia
Agnieszka, Radwańska
Urszula, Radwańska
Stanisław, Radziszowski
Anthony, Radziwill
Antoni, Radziwiłł
Jerzy, Radziwiłł
Barbara, Radziwiłłówna
Brian, Rafalski
Joanna, Rajkowska
Iweta, Rajlich
Helena, Rakoczy
Adam, Rapacki
Helena, Rasiowa
Teodor, Regedziński
Marcel, Reich-Ranicki
Tadeusz, Reichstein
Mikołaj, Rej
Marian, Rejewski
Zbigniew, Religa
Samuel, Reshevsky
Józef, Retinger
Sydor, Rey
Władysław, Reymont
Ryszard, Riedel
Henryk, Rodakowski
Maryla, Rodowicz
Maria, Rodziewiczówna
Anna, Rogowska
Sholom, Rokeach
Konstantin, Rokossovsky
Tadeusz, Romer
Zofia, Romer
Adam, Ronikier
Jakob, Rosanes
Dariusz, Rosati
Samuel, Rosenthal
Eddie, Rosner
Józef, Rostafiński
Wojciech, Rostafiński
Józef, Rotblat
Adam Daniel, Rotfeld
Gersz, Rotlewi
Stefan, Rowecki
Stefan, Rozental
Tadeusz, Różewicz
Jerzy, Różycki
Anja, Rubik
Piotr, Rubik
